emotion_label,clean_content,clean_withSW_SL,clean_noSW_SL,clean_noSW_noSL
0,had a great night last night and happy mothers day to every mother in the world,had a great night last night and happy mothers day to every mother in the world,great night last night happy mothers day every mother world,great night last night happi mother day everi mother world
0,ok that s subtly saying i m no longer a fave temme 1 thing did the firangs steal your vocab ur eating words and how,ok that s subtly saying i m no longer a fave temme  thing did the firangs steal your vocab ur eating words and how,ok subtly saying no longer fave temme thing firangs steal vocab ur eating words,ok subtli say no longer fave temm thing firang steal vocab ur eat word
0,he always brightens up quot the week quot,he always brightens up quot the week quot,always brightens quot week quot,alway brighten quot week quot
0,morning,morning,morning,morn
0,i m searching followers,i m searching followers,searching followers,search follow
0,yep i m more of a facebook person,yep i m more of a facebook person,yep facebook person,yep facebook person
0,nope there s me too,nope there s me too,nope,nope
0,watching ace of cakes,watching ace of cakes,watching ace cakes,watch ace cake
0,captain jack is back,captain jack is back,captain jack back,captain jack back
0,i am also very tired,i am also very tired,also tired,also tire
0,4x4s are the shizz,xs are the shizz,xs shizz,x shizz
0,writersblock i m sure you are toasties wasn t far behind,writersblock i m sure you are toasties wasn t far behind,writersblock sure toasties far behind,writersblock sure toasti far behind
0,love how dad said he d be ready to go at like 3 15 and it s now 4pm and i m still working,love how dad said he d be ready to go at like   and it s now pm and i m still working,love dad said ready go like pm still working,love dad say readi go like pm still work
0,this week has dragged a bit for me too have an essay to write about the seaside then im seeing eddie izzard tonight x,this week has dragged a bit for me too have an essay to write about the seaside then im seeing eddie izzard tonight x,week dragged bit essay write seaside im seeing eddie izzard tonight,week drag bit essay write seasid im see eddi izzard tonight
0,download backseat goodbye s latest album for free,download backseat goodbye s latest album for free,download backseat goodbye latest album free,download backseat goodby late album free
0,always be your self and thing will go on without no problem and do you even try hard to be your self just be and smile,always be your self and thing will go on without no problem and do you even try hard to be your self just be and smile,always self thing go without no problem even try hard self smile,alway self thing go without no problem even tri hard self smile
0,eating chicken kebabs with muffi and chups watching quot meet the spartas quot,eating chicken kebabs with muffi and chups watching quot meet the spartas quot,eating chicken kebabs muffi chups watching quot meet spartas quot,eat chicken kebab muffi chup watch quot meet sparta quot
0,my 3yo just woke and groggily walked over to my office is now sleeping in my lap,my yo just woke and groggily walked over to my office is now sleeping in my lap,yo woke groggily walked office sleeping lap,yo woke groggili walk offic sleep lap
0,just got up with,just got up with,got,get
0,no work but gotta be here till 9pm enna kodumai sir idhu,no work but gotta be here till pm enna kodumai sir idhu,no work gotta till pm enna kodumai sir idhu,no work gotta till pm enna kodumai sir idhu
0,hope you have fun tonight,hope you have fun tonight,hope fun tonight,hope fun tonight
0,all you have to do is have your boyfriend say something for me so i can hear his accent,all you have to do is have your boyfriend say something for me so i can hear his accent,boyfriend say something hear accent,boyfriend say someth hear accent
0,i ll believe it when i see it,i ll believe it when i see it,believe see,believ see
0,lol cnt its too slow,lol cnt its too slow,lol cnt slow,lol cnt slow
0,working now,working now,working,work
0,evryone come here were spamming so much and blogtv is glitching and it might work,evryone come here were spamming so much and blogtv is glitching and it might work,evryone come spamming much blogtv glitching might work,evryon come spam much blogtv glitch might work
0,just woke from the longest sleep in months so nice now to get some work done so i m prepped for next wk amp free for k coming home tonight,just woke from the longest sleep in months so nice now to get some work done so i m prepped for next wk amp free for k coming home tonight,woke longest sleep months nice get work done prepped next wk amp free coming home tonight,woke long sleep month nice get work do prep next wk amp free come home tonight
0,hi i teach some chinese lessons on youtube feel free to have a look www youtube com chineselearn,hi i teach some chinese lessons on youtube feel free to have a look ww youtube com chineselearn,hi teach chinese lessons youtube feel free look ww youtube com chineselearn,hi teach chine lesson youtub feel free look ww youtub com chineselearn
0,honi might be cute to do a little picture book called quot the little book of boring quot,honi might be cute to do a little picture book called quot the little book of boring quot,honi might cute little picture book called quot little book boring quot,honi might cute littl pictur book call quot littl book bore quot
0,i miss the air canada centre and andy frost,i miss the air canada centre and andy frost,miss air canada centre andy frost,miss air canada centr andi frost
0,u in sd this weekend lets grab some tacos tomorrow or somethin if u free,u in sd this weekend lets grab some tacos tomorrow or somethin if u free,sd weekend lets grab tacos tomorrow somethin free,sd weekend let grab taco tomorrow somethin free
0,i jus spoke 2 my lawyer if i blow trial 3to7,i jus spoke  my lawyer if i blow trial to,jus spoke lawyer blow trial,ju spoke lawyer blow trial
0,thanks it ll be great and even better as soon as i get that wallet in my grubby little hands lol,thanks it ll be great and even better as soon as i get that wallet in my grubby little hands lol,thanks great even better soon get wallet grubby little hands lol,thank great even well soon get wallet grubbi littl hand lol
0,back home preheatin oven before popping in a pizza,back home preheatin oven before popping in a pizza,back home preheatin oven popping pizza,back home preheatin oven pop pizza
0,i am tracking with heather hayes today that s right the daughter of isaac hayes aka shaft aka chef on southpark jj killa,i am tracking with heather hayes today that s right the daughter of isaac hayes aka shaft aka chef on southpark jj killa,tracking heather hayes today right daughter isaac hayes aka shaft aka chef southpark jj killa,track heather hay today right daughter isaac hay aka shaft aka chef southpark jj killa
0,content content content gah story of my life right now thx for reminding me that s what i should be doing v tweeting,content content content gah story of my life right now thx for reminding me that s what i should be doing v tweeting,content content content gah story life right thx reminding tweeting,content content content gah stori life right thx remind tweet
0,so many wires to sort out,so many wires to sort out,many wires sort,mani wire sort
0,my brother is planning on moving to vietnam and staying there forever,my brother is planning on moving to vietnam and staying there forever,brother planning moving vietnam staying forever,brother plan move vietnam stay forev
0,fingers crossed that my neighbor can sign for my ups package today otherwise it may be bye bye pretty skirts,fingers crossed that my neighbor can sign for my ups package today otherwise it may be bye bye pretty skirts,fingers crossed neighbor sign ups package today otherwise may bye bye pretty skirts,finger cross neighbor sign up packag today otherwis may bye bye pretti skirt
0,i have been getting porn ones as i mentioned all these girls seem to be at a loss what to do,i have been getting porn ones as i mentioned all these girls seem to be at a loss what to do,getting porn ones mentioned girls seem loss,get porn one mention girl seem loss
0,i ll dress up for the event,i ll dress up for the event,dress event,dress event
0,haha and i just got an email that truth is now following me on twitter a sign that i need to do away with the obscure mind games,haha and i just got an email that truth is now following me on twitter a sign that i need to do away with the obscure mind games,haha got email truth following twitter sign need away obscure mind games,haha get email truth follow twitter sign need away obscur mind game
0,no new orleans been here since katrina,no new orleans been here since katrina,no new orleans since katrina,no new orlean sinc katrina
0,no topic maps talks at the balisage markup conference 2009 program online at via topic maps,no topic maps talks at the balisage markup conference  program online at via topic maps,no topic maps talks balisage markup conference program online via topic maps,no topic map talk balisag markup confer program onlin via topic map
0,none of the above there is no none of the above option,none of the above there is no none of the above option,none no none option,none no none option
0,nice i ve never been to spalding but one year i will make it to the flower show is springfields a good shopping centre,nice i ve never been to spalding but one year i will make it to the flower show is springfields a good shopping centre,nice never spalding one year make flower show springfields good shopping centre,nice never spald one year make flower show springfield good shop centr
0,that s interesting to know thanks,that s interesting to know thanks,interesting know thanks,interest know thank
0,is finally allowed to go out,is finally allowed to go out,finally allowed go,final allow go
0,thats what i was thinking but the only time it s gonna be on is 1 am,thats what i was thinking but the only time it s gonna be on is  am,thats thinking time gonna,that think time gonna
0,sorry for the triple twitter post was having trouble w stocktwits account i try not to clutter up the twittersphere,sorry for the triple twitter post was having trouble w stocktwits account i try not to clutter up the twittersphere,sorry triple twitter post trouble stocktwits account try not clutter twittersphere,sorri tripl twitter post troubl stocktwit account tri not clutter twitterspher
0,bizzle checkin that out right now,bizzle checkin that out right now,bizzle checkin right,bizzl checkin right
0,it s cause you give me a reason to assume,it s cause you give me a reason to assume,cause give reason assume,caus give reason assum
0,totally forgot about pink radio being launched today gonna listen to it when i finish my assignment,totally forgot about pink radio being launched today gonna listen to it when i finish my assignment,totally forgot pink radio launched today gonna listen finish assignment,total forgot pink radio launch today gonna listen finish assign
0,back in wayland its good to be home,back in wayland its good to be home,back wayland good home,back wayland good home
0,cheap and good system,cheap and good system,cheap good system,cheap good system
0,eating lunch then school,eating lunch then school,eating lunch school,eat lunch school
0,i was going to visit my sister today but she s grumpy i ll just chill at home with the family and visit her tomorrow,i was going to visit my sister today but she s grumpy i ll just chill at home with the family and visit her tomorrow,going visit sister today grumpy chill home family visit tomorrow,go visit sister today grumpi chill home famili visit tomorrow
0,alcohol does not promote weight loss,alcohol does not promote weight loss,alcohol not promote weight loss,alcohol not promot weight loss
0,i second that i wish it rained more where i am,i second that i wish it rained more where i am,second wish rained,second wish rain
0,starting class today we start medisoft,starting class today we start medisoft,starting class today start medisoft,start class today start medisoft
0,btw do not plan anything for next sunday but do find out times they re showing wolverine i will take us to the movies,btw do not plan anything for next sunday but do find out times they re showing wolverine i will take us to the movies,btw not plan anything next sunday find times showing wolverine take us movies,btw not plan anyth next sunday find time show wolverin take u movi
0,going 4 a swim,going  a swim,going swim,go swim
0,listing to music while putting the finishing touches on my mothers day present and the cool part is it didn t cost my a thing,listing to music while putting the finishing touches on my mothers day present and the cool part is it didn t cost my a thing,listing music putting finishing touches mothers day present cool part cost thing,list music put finish touch mother day present cool part cost thing
0,doing my ff later too busy making up plans for today beshie is gonna be in dc june 5 6 for a bball game,doing my ff later too busy making up plans for today beshie is gonna be in dc june   for a bball game,ff later busy making plans today beshie gonna dc june bball game,ff later busi make plan today beshi gonna dc june bball game
0,smh dats whack,smh dats whack,smh dats whack,smh dat whack
0,that just made my night,that just made my night,made night,make night
0,hoping everyone is safe frm the purge that is supposedly happening at work right now,hoping everyone is safe frm the purge that is supposedly happening at work right now,hoping everyone safe frm purge supposedly happening work right,hope everyon safe frm purg supposedli happen work right
0,assignments,assignments,assignments,assign
0,tyring to pack for my aruba trip soul beach music fest,tyring to pack for my aruba trip soul beach music fest,tyring pack aruba trip soul beach music fest,tyre pack aruba trip soul beach music fest
0,ummm have you looked on your head,umm have you looked on your head,umm looked head,umm look head
0,goodnight,goodnight,goodnight,goodnight
0,i cant even call a nigga man bitches on bogus shit yah digg,i cant even call a nigga man bitches on bogus shit yah digg,cant even call nigga man bitches bogus shit yah digg,cant even call nigga man bitch bogu shit yah digg
0,use this link to start earning free cash just sign up and get paypal cashouts of minimum 1,use this link to start earning free cash just sign up and get paypal cashouts of minimum ,use link start earning free cash sign get paypal cashouts minimum,use link start earn free cash sign get paypal cashout minimum
0,3000 then ya up with me my friend i type too much, then ya up with me my friend i type too much,ya friend type much,ya friend type much
0,flat is sparkling clean now that s team work on way to pick up food for 6,flat is sparkling clean now that s team work on way to pick up food for ,flat sparkling clean team work way pick food,flat sparkl clean team work way pick food
0,emoticons by christian quot quot,emoticons by christian quot quot,emoticons christian quot quot,emoticon christian quot quot
0,ps tell me about your weekend,ps tell me about your weekend,ps tell weekend,p tell weekend
0,rofl okay i dont know but kristin still isnt here,rofl okay i dont know but kristin still isnt here,rofl okay dont know kristin still isnt,rofl okay dont know kristin still isnt
0,i almost said quot and grammer no exist either quot grunt but i stopped myself,i almost said quot and grammer no exist either quot grunt but i stopped myself,almost said quot grammer no exist either quot grunt stopped,almost say quot grammer no exist either quot grunt stop
0,just read it too i meant the toys though,just read it too i meant the toys though,read meant toys though,read meant toy though
0,i don t get it i was feeling fine yesterday and now im a ball of sickness i hate the flu,i don t get it i was feeling fine yesterday and now im a ball of sickness i hate the flu,get feeling fine yesterday im ball sickness hate flu,get feel fine yesterday im ball sick hate flu
0,i dunno i thought i was funny,i dunno i thought i was funny,dunno thought funny,dunno thought funni
0,i hope the young ins enjoyed your wisdom,i hope the young ins enjoyed your wisdom,hope young ins enjoyed wisdom,hope young in enjoy wisdom
0,i can t find any,i can t find any,find,find
0,a bit early to confirm a trend but daily site signups are still on the rise,a bit early to confirm a trend but daily site signups are still on the rise,bit early confirm trend daily site signups still rise,bit earli confirm trend daili site signup still rise
0,getting ready for school class starts at 10 critique at noon i ll be painting my vermeer most of the day though,getting ready for school class starts at  critique at noon i ll be painting my vermeer most of the day though,getting ready school class starts critique noon painting vermeer day though,get readi school class start critiqu noon paint vermeer day though
0,well for one thing i might be branded a quot public menace quot by the state,well for one thing i might be branded a quot public menace quot by the state,well one thing might branded quot public menace quot state,well one thing might brand quot public menac quot state
0,i haven t started packing,i haven t started packing,started packing,start pack
0,yet,yet,yet,yet
0,ryall what if i thought i was a star trek person but i wasn t all that crazy about the new movie,ryall what if i thought i was a star trek person but i wasn t all that crazy about the new movie,ryall thought star trek person crazy new movie,ryall thought star trek person crazi new movi
0,kyle can make fart noises with his armpit,kyle can make fart noises with his armpit,kyle make fart noises armpit,kyle make fart nois armpit
0,did u get an invite i miss u,did u get an invite i miss u,get invite miss,get invit miss
0,going to work nightshift,going to work nightshift,going work nightshift,go work nightshift
0,now there s a question for 140 characters one of history s great unanswered what if s i would say,now there s a question for  characters one of history s great unanswered what if s i would say,question characters one history great unanswered would say,question charact one histori great unansw would say
0,i know you won t keep a wild dog or else you won t be able in the situation to use mandriva in your life,i know you won t keep a wild dog or else you won t be able in the situation to use mandriva in your life,know keep wild dog else able situation use mandriva life,know keep wild dog el abl situat use mandriva life
0,fair enough actually you dont have to give me x men mad max will do me fine,fair enough actually you dont have to give me x men mad max will do me fine,fair enough actually dont give men mad max fine,fair enough actual dont give men mad max fine
0,what happened to where did she go,what happened to where did she go,happened go,happen go
0,it s friday but its only friday morning ugh,it s friday but its only friday morning ugh,friday friday morning ugh,friday friday morn ugh
0,lol i get about the same reaction when i mention my new goal kona triathlon now that boston marathon is done,lol i get about the same reaction when i mention my new goal kona triathlon now that boston marathon is done,lol get reaction mention new goal kona triathlon boston marathon done,lol get reaction mention new goal kona triathlon boston marathon do
0,i m new on twitter hi everybody suggestions for me,i m new on twitter hi everybody suggestions for me,new twitter hi everybody suggestions,new twitter hi everybodi suggest
0,aw toy story 3 is coming out next year,aw toy story  is coming out next year,aw toy story coming next year,aw toy stori come next year
0,at work thinking about things when i should be working,at work thinking about things when i should be working,work thinking things working,work think thing work
0,yeah i did,yeah i did,yeah,yeah
0,watching george lopez went to my school and played some basketball today was pretty nice and hot,watching george lopez went to my school and played some basketball today was pretty nice and hot,watching george lopez went school played basketball today pretty nice hot,watch georg lopez go school play basketbal today pretti nice hot
0,dont be gloomy go out and get urself ice cream or gin whichever,dont be gloomy go out and get urself ice cream or gin whichever,dont gloomy go get urself ice cream gin whichever,dont gloomi go get urself ice cream gin whichev
0,sore throat planning the tet outing to marwell though good times,sore throat planning the tet outing to marwell though good times,sore throat planning tet outing marwell though good times,sore throat plan tet out marwel though good time
0,hi jordan i m gonna all of u i know ur busy and i know ur probably tired but please reschedule nc don t leave us out,hi jordan i m gonna all of u i know ur busy and i know ur probably tired but please reschedule nc don t leave us out,hi jordan gonna know ur busy know ur probably tired please reschedule nc leave us,hi jordan gonna know ur busi know ur probabl tire plea reschedul nc leav u
0,goin ta bed now goodnite jessica,goin ta bed now goodnite jessica,goin ta bed goodnite jessica,goin ta bed goodnit jessica
0,btw i still can t believe how awesome the newjabbakidz performance was u in the masks i screamed at my pc,btw i still can t believe how awesome the newjabbakidz performance was u in the masks i screamed at my pc,btw still believe awesome newjabbakidz performance masks screamed pc,btw still believ awesom newjabbakidz perform mask scream pc
0,been to beach nanny s just got back roast iater and then pudding,been to beach nanny s just got back roast iater and then pudding,beach nanny got back roast iater pudding,beach nanni get back roast iater pud
0,i would soooooo be a cop if it weren t for two things 1 i could drive 2 i wasn t so unfit,i would soo be a cop if it weren t for two things  i could drive  i wasn t so unfit,would soo cop two things could drive unfit,would soo cop two thing could drive unfit
0,haha i hope so i need sleep lol but my phone will get his message if he updates us,haha i hope so i need sleep lol but my phone will get his message if he updates us,haha hope need sleep lol phone get message updates us,haha hope need sleep lol phone get messag updat u
0,is new van a nice one,is new van a nice one,new van nice one,new van nice one
0,stuck on nj transit for the past twenty minutes great way to start the week,stuck on nj transit for the past twenty minutes great way to start the week,stuck nj transit past twenty minutes great way start week,stuck nj transit past twenti minut great way start week
0,is sooo waking both of them up on my way back to sb good night america,is soo waking both of them up on my way back to sb good night america,soo waking way back sb good night america,soo wake way back sb good night america
0,we are in perth lol i wish,we are in perth lol i wish,perth lol wish,perth lol wish
0,not sure i like this way to learn a new language i prefer to be quot on location quot so i can practice ask qs and get answers,not sure i like this way to learn a new language i prefer to be quot on location quot so i can practice ask qs and get answers,not sure like way learn new language prefer quot location quot practice ask qs get answers,not sure like way learn new languag prefer quot locat quot practic ask q get answer
0,ville yay green it certainly makes all the rain worth it and it s nice and cozy being indoors knitting,ville yay green it certainly makes all the rain worth it and it s nice and cozy being indoors knitting,ville yay green certainly makes rain worth nice cozy indoors knitting,vill yay green certainli make rain worth nice cozi indoor knit
0,gosh but you travel quick beam me up gottfried,gosh but you travel quick beam me up gottfried,gosh travel quick beam gottfried,gosh travel quick beam gottfri
0,tweet us a story x,tweet us a story x,tweet us story,tweet u stori
0,awww thatss well sad x,aww thatss well sad x,aww thatss well sad,aww thatss well sad
0,that means you need to start,that means you need to start,means need start,mean need start
0,that is the truth,that is the truth,truth,truth
0,new to this shiznaay,new to this shiznaay,new shiznaay,new shiznaay
0,gmail,gmail,gmail,gmail
